Retouradres,,
Antwoordnummer,,
3061,,
",",,
8000,,
WB,,
Zwolle,,
Dhr.,,B_PER_1
B.,B-PER,I_PER_1
van,I-PER,I_PER_1
’t,I-PER,I_PER_1
Wout,I-PER,I_PER_1
",",,
Minister,,B_PER_1
van,,I_PER_1
Economische,,I_PER_1
Zaken,,I_PER_1
en,,I_PER_1
Klimaat,,I_PER_1
Mevr.,,B_PER_2
K.,B-PER,I_PER_2
Ollongren,I-PER,I_PER_2
",",,
Minister,,B_PER_2
van,,I_PER_2
Binnenlandse,,I_PER_2
Zaken,,I_PER_2
en,,I_PER_2
Koninkrijksrelaties,,I_PER_2
Datum,,
29,,
januari,,
2021,,
Betreft,,
Wetsvoorstel,,
wijziging,,
Tijdelijke,,
Wet,,
Groningen,,
in,,
verband,,
met,,
de,,
versterking,,
(,,
35,,
603,,
),,
Referentienummer,,
IMG/Bestuur/2021/019,,
Geachte,,
mevrouw,,B_PER_2
Ollongren,B-PER,I_PER_2
en,,
heer,,B_PER_1
Van,B-PER,I_PER_1
’t,I-PER,I_PER_1
Wout,I-PER,I_PER_1
",",,
Het,,
wetsvoorstel,,
tot,,
wijziging,,
van,,
de,,
Tijdelijke,,
wet,,
Groningen,,
in,,
verband,,
met,,
de,,
versterking,,
(,,
35,,
603,,
),,
wordt,,
op,,
10,,
februari,,
2021,,
door,,
de,,
Tweede,,
Kamer,,
plenair,,
behandeld,,
.,,
Het,,
Instituut,,
Mijnbouwschade,,
Groningen,,
(,,
IMG,,
),,
acht,,
het,,
wenselijk,,
een,,
aantal,,
wezenlijke,,
elementen,,
van,,
het,,
voorstel,,
te,,
markeren,,
.,,
Duurzaam,,
schadeherstel,,
Het,,
wetsvoorstel,,
verankert,,
de,,
procedure,,
voor,,
de,,
versterking,,
van,,
gebouwen,,
",",,
maar,,
raakt,,
ook,,
op,,
een,,
aantal,,
punten,,
de,,
taak,,
van,,
het,,
Instituut,,
Mijnbouwschade,,
Groningen,,
doordat,,
het,,
een,,
scherpe,,
scheiding,,
aanbrengt,,
tussen,,
de,,
taken,,
van,,
NCG,,
en,,
het,,
IMG,,
.,,
Uitgangspunt,,
blijft,,
dat,,
het,,
IMG,,
slechts,,
bevoegd,,
is,,
voor,,
zover,,
de,,
mijnbouwschade,,
herleidbaar,,
is,,
tot,,
de,,
civielrechtelijke,,
aansprakelijkheid,,
van,,
NAM,,
.,,
Het,,
IMG,,
vergoedt,,
mijnbouwschade,,
op,,
basis,,
van,,
herstel,,
van,,
de,,
schade,,
in,,
de,,
oude,,
toestand,,
.,,
In,,
de,,
praktijk,,
betekent,,
dat,,
dat,,
er,,
een,,
reële,,
kans,,
is,,
dat,,
bij,,
een,,
volgende,,
beving,,
de,,
bewoner,,
die,,
zijn,,
schade,,
heeft,,
hersteld,,
met,,
nieuwe,,
schade,,
wordt,,
geconfronteerd,,
",",,
met,,
alle,,
lasten,,
die,,
de,,
afwikkeling,,
daarvan,,
weer,,
meebrengt,,
.,,
Andere,,
bewoners,,
herstellen,,
de,,
schade,,
niet,,
meer,,
omdat,,
ze,,
terugkeer,,
van,,
de,,
schade,,
bij,,
een,,
nieuwe,,
beving,,
vrezen,,
of,,
omdat,,
zij,,
de,,
beslissing,,
over,,
de,,
versterking,,
afwachten,,
.,,
Het,,
IMG,,
vindt,,
dit,,
een,,
maatschappelijk,,
niet,,
te,,
verantwoorden,,
uitkomst,,
.,,
In,,
het,,
verslag,,
hebben,,
verschillende,,
fracties,,
gevraagd,,
waarom,,
geen,,
ruimere,,
herstelmethode,,
gericht,,
op,,
aardbevingsbestendigheid,,
mogelijk,,
wordt,,
gemaakt,,
(,,
zie,,
Kamerstukken,,
II,,
35,,
603,,
",",,
p.,,
7-9,,
en,,
22,,
),,
.,,
Ook,,
in,,
zijn,,
reactie,,
aan,,
de,,
Kamer,,
van,,
22,,
januari,,
jl.,,
bepleit,,
het,,
Groninger,,
Gasberaad,,
een,,
schadeherstel,,
op,,
een,,
manier,,
die,,
zoveel,,
mogelijk,,
preventief,,
werkt,,
(,,
“,,
Te,,
veel,,
",",,
te,,
weinig,,
",",,
te,,
laat”,,
p.,,
4,,
",",,
8-9,,
),,
.,,
De,,
oplossing,,
zou,,
zijn,,
dat,,
het,,
IMG,,
meer,,
afwegingsruimte,,
wordt,,
gegeven,,
om,,
in,,
daarvoor,,
in,,
aanmerking,,
komende,,
situaties,,
de,,
schade,,
meer,,
duurzaam,,
te,,
herstellen,,
.,,
Een,,
dergelijke,,
bepaling,,
zou,,
in,,
een,,
nieuw,,
lid,,
10,,
van,,
artikel,,
2,,
kunnen,,
luiden,,
:,,
“Naast,,
de,,
schade,,
als,,
bedoeld,,
in,,
artikel,,
184,,
van,,
boek,,
6,,
van,,
het,,
Burgerlijk,,
Wetboek,,
kan,,
het,,
IMG,,
aan,,
verzoeker,,
een,,
in,,
redelijkheid,,
te,,
bepalen,,
tegemoetkoming,,
in,,
geld,,
of,,
in,,
natura,,
toekennen,,
voor,,
iedere,,
redelijke,,
maatregel,,
die,,
nodig,,
is,,
om,,
te,,
bewerkstelligen,,
dat,,
de,,
schade,,
waarvoor,,
vergoeding,,
wordt,,
toegekend,,
",",,
duurzaam,,
kan,,
worden,,
hersteld,,
.,,
Aan,,
de,,
toekenning,,
van,,
deze,,
tegemoetkoming,,
kan,,
het,,
IMG,,
voorwaarden,,
verbinden,,
.,,
Toelichting,,
op,,
de,,
wijziging,,
:,,
Het,,
is,,
wenselijk,,
dat,,
het,,
IMG,,
ook,,
maatregelen,,
kan,,
nemen,,
die,,
een,,
meer,,
duurzame,,
herstelmethode,,
mogelijk,,
maken,,
.,,
Gebleken,,
is,,
dat,,
de,,
eisen,,
die,,
artikel,,
6:184,,
BW,,
nu,,
stelt,,
",",,
met,,
een,,
koppeling,,
aan,,
de,,
civielrechtelijke,,
aansprakelijkheid,,
van,,
de,,
exploitant,,
en,,
een,,
garantie,,
dat,,
nieuwe,,
schade,,
wordt,,
beperkt,,
of,,
voorkomen,,
",",,
te,,
vaak,,
onvoldoende,,
grondslag,,
is,,
voor,,
duurzaam,,
herstel,,
.,,
Duurzaam,,
herstellen,,
betekent,,
niet,,
dat,,
de,,
woning,,
na,,
het,,
herstel,,
tegen,,
iedere,,
aardbeving,,
of,,
andere,,
bodembeweging,,
bestand,,
is,,
,,
het,,
gaat,,
erom,,
dat,,
de,,
schade,,
niet,,
terugkeert,,
bij,,
de,,
eerste,,
de,,
beste,,
lichte,,
beving,,
.,,
De,,
bepaling,,
spreekt,,
van,,
“redelijke,,
maatregelen”,,
.,,
De,,
proportionaliteit,,
van,,
de,,
maatregelen,,
is,,
van,,
belang,,
:,,
wie,,
een,,
schadevergoeding,,
krijgt,,
voor,,
krimpscheuren,,
kan,,
niet,,
verwachten,,
dat,,
hij,,
een,,
tegemoetkoming,,
krijgt,,
voor,,
een,,
kostbaar,,
herstel,,
van,,
de,,
fundering,,
",",,
terwijl,,
het,,
gebrek,,
aan,,
de,,
fundering,,
niet,,
mijnbouw,,
gerelateerd,,
is,,
.,,
In,,
de,,
formulering,,
“in,,
redelijkheid,,
te,,
bepalen,,
tegemoetkoming,,
”,,
komt,,
tot,,
uitdrukking,,
dat,,
niet,,
steeds,,
de,,
volledige,,
kosten,,
van,,
de,,
redelijke,,
maatregelen,,
behoeven,,
te,,
worden,,
vergoed,,
.,,
De,,
hoogte,,
van,,
de,,
tegemoetkoming,,
hangt,,
af,,
van,,
de,,
concrete,,
omstandigheden,,
van,,
het,,
geval,,
",",,
zoals,,
de,,
financiële,,
positie,,
van,,
de,,
aanvrager,,
",",,
de,,
mogelijkheid,,
om,,
een,,
bouwsubsidie,,
te,,
krijgen,,
uit,,
het,,
bestuursakkoord,,
of,,
anderszins,,
en,,
",",,
ten,,
slotte,,
",",,
de,,
proportionaliteit,,
.,,
”,,
Verhouding,,
tot,,
de,,
versterking,,
Het,,
voorgestelde,,
artikel,,
2,,
lid,,
9,,
bepaalt,,
dat,,
IMG,,
niet,,
bevoegd,,
is,,
om,,
maatregelen,,
te,,
treffen,,
of,,
vergoedingen,,
uit,,
te,,
keren,,
",",,
voor,,
zover,,
het,,
de,,
versterking,,
van,,
gebouwen,,
betreft,,
waarop,,
hoofdstuk,,
5,,
van,,
toepassing,,
is,,
.,,
De,,
bepaling,,
is,,
een,,
reactie,,
op,,
een,,
uitspraak,,
van,,
het,,
Hof,,
Arnhem-Leeuwarden,,
.,,
Het,,
Hof,,
oordeelde,,
dat,,
de,,
op,,
grond,,
van,,
de,,
NPR,,
9998,,
te,,
treffen,,
maatregelen,,
in,,
beginsel,,
redelijke,,
maatregelen,,
zijn,,
in,,
de,,
zin,,
van,,
artikel,,
6,,
:184,,
BW,,
.,,
Het,,
voorgestelde,,
artikel,,
9,,
lid,,
2,,
houdt,,
in,,
dat,,
IMG,,
geen,,
vergoeding,,
mag,,
toekennen,,
of,,
maatregelen,,
mag,,
nemen,,
als,,
het,,
gevolg,,
is,,
dat,,
de,,
woning,,
aan,,
de,,
veiligheidsnormen,,
voldoet,,
.,,
Gevolg,,
van,,
deze,,
bepaling,,
zal,,
zijn,,
dat,,
IMG,,
eerst,,
de,,
schade,,
aan,,
de,,
woning,,
herstelt,,
(,,
of,,
daarvoor,,
een,,
vergoeding,,
toekent,,
),,
en,,
dat,,
vervolgens,,
NCG,,
maatregelen,,
moet,,
nemen,,
om,,
de,,
woning,,
aan,,
de,,
Meijdam-norm,B-PER,
te,,
laten,,
voldoen,,
.,,
De,,
bewoner,,
staat,,
dus,,
voor,,
de,,
keuze,,
twee,,
keer,,
een,,
deskundige,,
en,,
een,,
aannemer,,
over,,
de,,
vloer,,
te,,
laten,,
komen,,
of,,
in,,
een,,
onveilig,,
huis,,
te,,
blijven,,
wonen,,
tot,,
hij,,
schadeherstel,,
en,,
versterking,,
in,,
één,,
keer,,
kan,,
laten,,
uitvoeren,,
.,,
Daarbij,,
zij,,
aangetekend,,
dat,,
tot,,
nu,,
niet,,
van,,
een,,
probleem,,
is,,
gebleken,,
omdat,,
IMG,,
maatregelen,,
heeft,,
genomen,,
of,,
vergoed,,
die,,
mede,,
leiden,,
tot,,
een,,
veilige,,
woning,,
.,,
Het,,
voorgestelde,,
artikel,,
creëert,,
bovendien,,
onduidelijkheid,,
.,,
Mag,,
het,,
IMG,,
bijvoorbeeld,,
nog,,
langer,,
de,,
vergoeding,,
van,,
de,,
kosten,,
van,,
sloop,,
en,,
nieuwbouw,,
toekennen,,
als,,
dit,,
in,,
een,,
bepaald,,
geval,,
de,,
meest,,
passende,,
wijze,,
van,,
schadevergoeding,,
is,,
?,,
Nieuwbouw,,
impliceert,,
versterking,,
",",,
maar,,
het,,
kan,,
toch,,
niet,,
de,,
bedoeling,,
zijn,,
dat,,
daarom,,
de,,
juiste,,
wijze,,
van,,
schadevergoeding,,
niet,,
kan,,
plaatsvinden,,
?,,
De,,
bepaling,,
kan,,
beter,,
worden,,
geschrapt,,
aangezien,,
in,,
het,,
geheel,,
niet,,
is,,
gebleken,,
waarom,,
deze,,
nodig,,
zou,,
zijn,,
en,,
zij,,
bovendien,,
tot,,
ongewenste,,
complicaties,,
leidt,,
.,,
Ingrijpen,,
in,,
de,,
taakuitoefening,,
van,,
het,,
IMG,,
Het,,
IMG,,
maakt,,
zich,,
voorts,,
ernstig,,
zorgen,,
over,,
de,,
in,,
artikel,,
9,,
lid,,
3,,
opgenomen,,
grondslag,,
voor,,
een,,
ministeriele,,
regeling,,
die,,
regels,,
kan,,
geven,,
over,,
de,,
afstemming,,
van,,
taken,,
van,,
NCG,,
en,,
IMG,,
.,,
Het,,
IMG,,
is,,
een,,
semi-rechterlijk,,
orgaan,,
dat,,
onafhankelijk,,
van,,
de,,
ministers,,
uitvoering,,
moet,,
kunnen,,
geven,,
aan,,
zijn,,
wettelijke,,
taakopdracht,,
.,,
Dat,,
is,,
nodig,,
voor,,
het,,
vertrouwen,,
dat,,
de,,
Groningers,,
in,,
het,,
IMG,,
moeten,,
kunnen,,
stellen,,
.,,
De,,
bevoegdheid,,
van,,
de,,
ministers,,
staat,,
haaks,,
op,,
het,,
huidige,,
artikel,,
9,,
van,,
de,,
Tijdelijke,,
wet,,
Groningen,,
.,,
Daarin,,
is,,
bepaald,,
dat,,
de,,
minister,,
geen,,
beleidsregels,,
over,,
de,,
taakuitoefening,,
van,,
het,,
IMG,,
kan,,
geven,,
.,,
In,,
de,,
toelichting,,
op,,
artikel,,
9,,
heeft,,
de,,
minister,,
gesteld,,
dat,,
het,,
“in,,
het,,
belang,,
van,,
de,,
vervulling,,
van,,
zijn,,
semi-rechterlijke,,
taak,,
door,,
het,,
IMG,,
niet,,
wenselijk,,
is,,
dat,,
de,,
minister,,
een,,
bevoegdheid,,
heeft,,
om,,
invloed,,
uit,,
te,,
oefenen,,
of,,
in,,
te,,
grijpen,,
op,,
de,,
besluitvorming,,
van,,
het,,
IMG,,
in,,
individuele,,
gevallen,,
of,,
om,,
beleidsregels,,
vast,,
te,,
stellen,,
met,,
betrekking,,
tot,,
de,,
taakuitoefening,,
door,,
het,,
IMG,,
”,,
(,,
Kamerstukken,,
II,,
35,,
250,,
",",,
3,,
),,
.,,
Het,,
IMG,,
acht,,
het,,
van,,
belang,,
dat,,
regels,,
over,,
de,,
taakuitoefening,,
door,,
het,,
IMG,,
tot,,
stand,,
komen,,
via,,
een,,
zorgvuldige,,
",",,
openbare,,
procedure,,
met,,
toetsing,,
door,,
de,,
Raad,,
van,,
State,,
en,,
de,,
beide,,
Kamers,,
.,,
Het,,
IMG,,
suggereert,,
de,,
volgende,,
wijziging,,
:,,
“,,
Artikel,,
3,,
",",,
negende,,
lid,,
",",,
komt,,
te,,
luiden,,
:,,
9,,
.,,
Bij,,
algemene,,
maatregel,,
van,,
bestuur,,
kunnen,,
regels,,
worden,,
gesteld,,
over,,
de,,
wijze,,
waarop,,
Onze,,
Minister,,
van,,
Binnenlandse,,
Zaken,,
en,,
Koninkrijksrelaties,,
en,,
het,,
IMG,,
de,,
uitvoering,,
van,,
de,,
versterking,,
op,,
grond,,
van,,
hoofdstuk,,
5,,
en,,
de,,
vergoeding,,
van,,
schade,,
op,,
grond,,
van,,
hoofdstuk,,
2,,
op,,
elkaar,,
afstemmen,,
.,,
De,,
voordracht,,
voor,,
een,,
krachtens,,
dit,,
lid,,
vast,,
te,,
stellen,,
algemene,,
maatregel,,
van,,
bestuur,,
wordt,,
niet,,
eerder,,
gedaan,,
dan,,
vier,,
weken,,
nadat,,
het,,
ontwerp,,
aan,,
beide,,
kamers,,
der,,
Staten-Generaal,,
is,,
voorgelegd,,
.,,
Toelichting,,
op,,
de,,
wijziging,,
:,,
Dit,,
lid,,
stelt,,
zeker,,
dat,,
regels,,
die,,
ingrijpen,,
in,,
de,,
taakuitoefening,,
van,,
beide,,
organisaties,,
slechts,,
met,,
parlementaire,,
betrokkenheid,,
worden,,
vastgesteld,,
.,,
Met,,
name,,
de,,
semi-rechterlijke,,
taak,,
van,,
het,,
IMG,,
verdraagt,,
zich,,
niet,,
met,,
de,,
bevoegdheid,,
van,,
de,,
minister,,
via,,
beleidsregels,,
in,,
te,,
grijpen,,
in,,
de,,
taakuitoefening,,
door,,
het,,
IMG,,
(,,
zie,,
het,,
huidige,,
artikel,,
9,,
),,
.,,
”,,
Voorstel,,
van,,
het,,
Gasberaad,,
voor,,
een,,
amendement,,
Ik,,B_PER_3
vraag,,
tenslotte,,
aandacht,,
voor,,
het,,
voorstel,,
voor,,
een,,
amendement,,
van,,
het,,
Groninger,,
Gasberaad,,
in,,
zijn,,
genoemde,,
reactie,,
over,,
de,,
mogelijkheid,,
van,,
meer,,
duurzaam,,
herstel,,
(,,
zie,,
het,,
amendement,,
4x1,,
),,
",",,
p.,,
10-11,,
),,
.,,
Het,,
voorstel,,
schept,,
een,,
nieuwe,,
procesgang,,
die,,
moet,,
uitmonden,,
in,,
een,,
plan,,
van,,
aanpak,,
van,,
IMG,,
en,,
NCG,,
voor,,
versterking,,
en,,
schadeherstel,,
.,,
Zoals,,
het,,
Groninger,,
Gasberaad,,
aangeeft,,
betreft,,
het,,
een,,
uitgebreid,,
amendement,,
waarin,,
een,,
groot,,
aantal,,
artikelen,,
uit,,
het,,
wetsvoorstel,,
moet,,
worden,,
aangepast,,
of,,
herschreven,,
.,,
Ik,,B_PER_3
denk,,
dat,,
het,,
goed,,
zou,,
zijn,,
als,,
IMG,,
en,,
NCG,,
de,,
gelegenheid,,
wordt,,
geboden,,
de,,
uitvoeringsconsequenties,,
van,,
het,,
voorstel,,
in,,
kaart,,
te,,
brengen,,
",",,
zodat,,
de,,
Kamer,,
de,,
uitkomst,,
daarvan,,
kan,,
betrekken,,
bij,,
haar,,
beraadslaging,,
.,,
Een,,
afschrift,,
van,,
deze,,
brief,,
verstuur,,
ik,,B_PER_3
aan,,
de,,
leden,,
van,,
de,,
vaste,,
Kamercommissie,,
voor,,
Economische,,
Zaken,,
en,,
Klimaat,,
gelet,,
op,,
de,,
behandeling,,
van,,
het,,
wetsvoorstel,,
versterken,,
in,,
de,,
Tweede,,
Kamer,,
op,,
10,,
februari,,
a.s.,,
Desgewenst,,
ben,,
ik,,B_PER_3
tot,,
nadere,,
toelichting,,
op,,
het,,
voorgaande,,
bereid,,
.,,
Met,,
vriendelijke,,
groet,,
",",,
S.C.J.J.,B-PER,B_PER_3
(,I-PER,I_PER_3
Bas,I-PER,I_PER_3
),I-PER,I_PER_3
Kortmann,I-PER,I_PER_3
Voorzitter,,B_PER_3
Bestuur,,I_PER_3
Instituut,,I_PER_3
Mijnbouwschade,,I_PER_3
Groningen,,I_PER_3